Id,SalePrice
1461,139000.0
1462,139000.0
1463,174000.0
1464,174000.0
1465,196000.0
1466,174000.0
1467,173000.0
1468,174000.0
1469,140000.0
1470,139000.0
1471,173000.0
1472,112000.0
1473,88000.0
1474,148500.0
1475,80000.0
1476,582933.0
1477,256300.0
1478,256300.0
1479,236500.0
1480,611657.0
1481,325000.0
1482,196000.0
1483,140000.0
1484,192000.0
1485,189000.0
1486,174000.0
1487,333168.0
1488,201000.0
1489,250580.0
1490,220000.0
1491,189000.0
1492,139000.0
1493,154000.0
1494,260000.0
1495,260000.0
1496,196000.0
1497,173733.0
1498,155000.0
1499,155000.0
1500,173733.0
1501,155000.0
1502,173733.0
1503,222000.0
1504,216000.0
1505,262500.0
1506,142000.0
1507,260000.0
1508,143000.0
1509,154000.0
1510,139000.0
1511,139000.0
1512,143000.0
1513,112000.0
1514,127000.0
1515,135000.0
1516,110000.0
1517,127000.0
1518,124000.0
1519,210000.0
1520,139000.0
1521,135000.0
1522,143000.0
1523,115000.0
1524,127500.0
1525,110000.0
1526,80000.0
1527,110000.0
1528,125500.0
1529,155000.0
1530,139000.0
1531,139000.0
1532,139000.0
1533,139000.0
1534,110000.0
1535,132000.0
1536,115000.0
1537,110000.0
1538,105900.0
1539,161000.0
1540,55000.0
1541,140000.0
1542,113000.0
1543,188700.0
1544,100000.0
1545,113000.0
1546,113000.0
1547,113000.0
1548,113000.0
1549,110000.0
1550,113000.0
1551,139000.0
1552,135000.0
1553,161000.0
1554,140000.0
1555,113000.0
1556,113000.0
1557,125000.0
1558,135000.0
1559,128000.0
1560,95000.0
1561,125000.0
1562,127000.0
1563,142000.0
1564,143000.0
1565,172500.0
1566,143000.0
1567,76000.0
1568,222500.0
1569,105000.0
1570,140000.0
1571,127500.0
1572,129000.0
1573,190000.0
1574,110000.0
1575,154000.0
1576,254900.0
1577,190000.0
1578,94000.0
1579,140000.0
1580,190000.0
1581,127000.0
1582,129000.0
1583,260000.0
1584,174000.0
1585,140000.0
1586,112000.0
1587,110000.0
1588,139000.0
1589,110000.0
1590,140000.0
1591,141000.0
1592,135000.0
1593,139000.0
1594,142953.0
1595,139000.0
1596,143000.0
1597,210000.0
1598,230000.0
1599,113000.0
1600,124000.0
1601,100000.0
1602,110000.0
1603,110000.0
1604,275000.0
1605,189000.0
1606,143000.0
1607,174000.0
1608,201000.0
1609,250580.0
1610,167500.0
1611,140000.0
1612,174000.0
1613,174000.0
1614,133000.0
1615,88000.0
1616,88000.0
1617,88000.0
1618,135000.0
1619,139000.0
1620,174000.0
1621,154000.0
1622,135000.0
1623,210000.0
1624,210000.0
1625,115000.0
1626,135000.0
1627,185000.0
1628,230000.0
1629,173000.0
1630,251000.0
1631,175000.0
1632,180000.0
1633,174000.0
1634,185000.0
1635,173000.0
1636,173000.0
1637,210000.0
1638,190000.0
1639,185000.0
1640,215000.0
1641,215000.0
1642,205950.0
1643,210000.0
1644,254900.0
1645,143000.0
1646,143000.0
1647,155000.0
1648,140000.0
1649,155000.0
1650,135000.0
1651,147000.0
1652,88000.0
1653,88000.0
1654,148500.0
