Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,2.3529411764705883,3.0,1.506849315068493,0.33419804155273547,1.0,1.0,3.0,3.0,0.0,4.0,0.0,5.0,2.0,2.0,0.0,5.0,6.666666666666666,5.0,9.492753623188406,8.833333333333332,1.0,1.0,12.0,13.0,1.0,1.225,2.0,4.0,2.0,2.0,3.0,3.0,2.0,1.2508858965272855,5.0,0.0,0.642123287671233,1.4009819967266777,1.0,0.0,1.0,4.0,1.0964083175803403,4.135593220338983,0.0,2.592313489073097,3.333333333333333,0.0,5.0,5.0,3.75,3.333333333333333,2.0,4.615384615384616,6.0,0.0,4.0,1.0,3.4615384615384617,1.0,4.0,3.682795698924731,4.0,4.0,2.0,0.0,0.8221024258760108,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.9090909090909092,5.0,8.0,4.0,208500.0
2,0.0,3.0,2.0205479452054793,0.3879501741101685,1.0,0.0,3.0,3.0,0.0,2.0,0.0,24.0,1.0,2.0,0.0,2.0,5.555555555555555,8.75,7.536231884057971,4.333333333333334,1.0,1.0,8.0,8.0,2.0,0.0,3.0,4.0,1.0,2.0,3.0,1.0,0.0,1.732813607370659,5.0,0.0,1.2157534246575343,2.065466448445172,1.0,0.0,1.0,4.0,1.9491703423650495,0.0,0.0,1.7483044461190655,0.0,5.0,5.0,0.0,3.75,3.333333333333333,3.0,3.076923076923077,6.0,2.5,4.0,1.0,2.5961538461538463,1.0,4.0,3.0913978494623655,4.0,4.0,2.0,2.092696629213483,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.6363636363636367,2.5,8.0,4.0,181500.0
3,2.3529411764705883,3.0,1.6095890410958904,0.46507279908387666,1.0,1.0,0.0,3.0,0.0,4.0,0.0,5.0,2.0,2.0,0.0,5.0,6.666666666666666,5.0,9.347826086956522,8.666666666666668,1.0,1.0,12.0,13.0,1.0,1.0125000000000002,2.0,4.0,2.0,2.0,3.0,2.0,2.0,0.8610914245216159,5.0,0.0,1.8578767123287672,1.5057283142389524,1.0,0.0,1.0,4.0,1.2308338584331022,4.193704600484262,0.0,2.7354935945742276,3.333333333333333,0.0,5.0,5.0,3.75,3.333333333333333,2.0,3.076923076923077,6.0,2.5,4.0,1.0,3.397435897435898,1.0,4.0,4.086021505376344,4.0,4.0,2.0,0.0,0.5660377358490566,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,7.272727272727273,5.0,8.0,4.0,223500.0
4,2.9411764705882355,3.0,1.3356164383561644,0.385613124868541,1.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,5.0,6.666666666666666,5.0,3.1159420289855073,3.333333333333333,1.0,1.0,13.0,15.0,2.0,0.0,3.0,4.0,0.0,3.0,1.0,3.0,0.0,0.3827072997873848,5.0,0.0,2.3116438356164384,1.237315875613748,1.0,2.0,1.0,4.0,1.3169502205419028,3.6610169491525424,0.0,2.605501130369254,3.333333333333333,0.0,2.5,0.0,3.75,3.333333333333333,2.0,3.8461538461538463,6.0,2.5,2.0,5.0,3.301282051282051,2.0,6.0,4.314516129032258,4.0,4.0,2.0,0.0,0.4716981132075472,2.6877470355731226,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.9090909090909092,0.0,8.0,0.0,140000.0
5,2.3529411764705883,3.0,2.1575342465753424,0.6057631634298535,1.0,1.0,0.0,3.0,0.0,2.0,0.0,15.0,2.0,2.0,0.0,5.0,7.777777777777778,5.0,9.27536231884058,8.333333333333334,1.0,1.0,12.0,13.0,1.0,2.1875,2.0,4.0,2.0,2.0,3.0,0.0,2.0,1.1605244507441532,5.0,0.0,2.0976027397260273,1.873977086743044,1.0,0.0,1.0,4.0,1.7034236504935938,5.0992736077481835,0.0,3.5116804822908816,3.333333333333333,0.0,5.0,5.0,5.0,3.333333333333333,2.0,5.384615384615384,6.0,2.5,4.0,1.0,3.365384615384616,1.0,6.0,5.618279569892472,4.0,4.0,2.0,1.348314606741573,1.1320754716981132,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,10.0,5.0,8.0,4.0,250000.0
6,1.7647058823529413,3.0,2.191780821917808,0.5989857206291337,1.0,0.0,0.0,3.0,0.0,4.0,0.0,11.0,2.0,2.0,0.0,0.0,4.444444444444445,5.0,8.768115942028986,7.5,1.0,1.0,12.0,13.0,2.0,0.0,3.0,4.0,5.0,2.0,3.0,3.0,2.0,1.2969525159461375,5.0,0.0,0.273972602739726,1.3027823240589198,1.0,0.0,1.0,4.0,0.9703843730308759,2.7409200968523,0.0,1.9366993217784476,3.333333333333333,0.0,2.5,5.0,1.25,3.333333333333333,3.0,2.307692307692308,6.0,0.0,4.0,1.0,3.141025641025641,2.0,4.0,3.225806451612903,4.0,4.0,2.0,0.2808988764044944,0.4043126684636118,0.0,6.299212598425196,0.0,0.0,0.0,2.0,2.0,0.4117647058823529,8.181818181818182,7.5,8.0,4.0,143000.0
7,0.0,3.0,1.8493150684931505,0.4105728107691229,1.0,1.0,3.0,3.0,0.0,4.0,0.0,21.0,2.0,2.0,0.0,2.0,7.777777777777778,5.0,9.565217391304348,9.166666666666666,1.0,1.0,12.0,13.0,3.0,1.1625,2.0,4.0,2.0,0.0,3.0,0.0,2.0,2.4255846917080084,5.0,0.0,1.3570205479452055,2.7594108019639934,1.0,0.0,1.0,4.0,2.856542743121193,0.0,0.0,2.5621703089675965,3.333333333333333,0.0,5.0,0.0,3.75,3.333333333333333,2.0,3.8461538461538463,6.0,2.5,2.0,1.0,3.4935897435897436,1.0,4.0,4.274193548387097,4.0,4.0,2.0,1.7907303370786518,0.7681940700808626,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,6.363636363636363,2.5,8.0,4.0,307000.0
8,2.3529411764705883,3.0,2.137671232876714,0.4245016242492229,1.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,4.0,2.0,0.0,5.0,6.666666666666666,6.25,7.3188405797101455,3.8333333333333335,1.0,1.0,6.0,6.0,3.0,1.5,3.0,4.0,1.0,2.0,3.0,2.0,0.0,1.5219702338766834,1.0,0.20969855832241152,0.9246575342465753,1.8117839607201307,1.0,0.0,1.0,4.0,1.6236084856122663,4.760290556900727,0.0,3.3082140165787486,3.333333333333333,0.0,5.0,5.0,3.75,3.333333333333333,3.0,3.8461538461538463,6.0,5.0,4.0,1.0,2.5,1.0,4.0,3.2526881720430105,4.0,4.0,2.0,1.6502808988764044,2.749326145552561,2.2529644268774702,0.0,0.0,0.0,1.0,2.0,2.0,0.20588235294117646,9.09090909090909,7.5,8.0,4.0,200000.0
9,1.7647058823529413,4.0,1.0273972602739725,0.22529154689289302,1.0,0.0,3.0,3.0,0.0,4.0,0.0,17.0,0.0,2.0,0.0,0.0,6.666666666666666,5.0,4.27536231884058,0.0,1.0,1.0,3.0,15.0,2.0,0.0,3.0,4.0,0.0,3.0,3.0,3.0,5.0,0.0,5.0,0.0,4.075342465753425,1.5581014729950902,1.0,2.0,1.0,1.0,1.4450745641671916,3.641646489104116,0.0,2.712886209495102,0.0,0.0,5.0,0.0,2.5,6.666666666666666,3.0,4.615384615384616,2.0,5.0,4.0,5.0,1.153846153846154,2.0,4.0,3.1451612903225805,1.0,4.0,2.0,0.6320224719101124,0.0,2.025691699604743,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.727272727272727,5.0,8.0,0.0,129900.0
10,10.0,3.0,0.9931506849315068,0.2860548271752086,1.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,4.444444444444445,6.25,4.855072463768116,0.0,1.0,1.0,8.0,8.0,2.0,0.0,3.0,4.0,0.0,3.0,3.0,3.0,2.0,1.5077958894401133,5.0,0.0,0.5993150684931506,1.6219312602291325,1.0,0.0,1.0,4.0,1.5605965133375341,0.0,0.0,1.3997739261492086,3.333333333333333,0.0,2.5,0.0,2.5,6.666666666666666,3.0,2.307692307692308,6.0,5.0,4.0,1.0,1.4102564102564101,1.0,2.0,1.3776881720430105,2.0,4.0,2.0,0.0,0.05390835579514825,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,8.0,4.0,118000.0
